Unnamed: 0,date,top_artists,top_1,top_2,top_3,Introduction
150,2023-05-31,"['Tina Turner', 'Bruce Willis', ""Beverly D'Angelo""]",Tina Turner,Bruce Willis,Beverly D'Angelo,"Tina Turner (born Anna Mae Bullock; November 26, 1939 – May 24, 2023) was a singer, songwriter, and actress. Known as the ""Queen of Rock 'n' Roll"", she rose to prominence as the lead singer of the husband-wife duo Ike & Tina Turner before launching a successful career as a solo performer. 
Born in Tennessee, Turner began her musical career with her future husband Ike Turner's band, the Kings of Rhythm, in 1956. Under the name Little Ann, she appeared on her first record, ""Boxtop"", in 1958. In 1960, she debuted as Tina Turner with the hit single ""A Fool in Love"". The Ike & Tina Turner Revue became ""one of the most formidable live acts in history"". The duo released hits such as ""It's Gonna Work Out Fine"", ""River Deep – Mountain High"", ""Proud Mary"", and ""Nutbush City Limits"" before disbanding in 1976.
In the 1980s, Turner launched ""one of the greatest comebacks in music history"". Her 1984 multi-platinum album Private Dancer contained the hit song ""What's Love Got to Do with It"", which won the Grammy Award for Record of the Year and became her first and only number-one song on the Billboard Hot 100. Her chart success continued with ""Better Be Good to Me"", ""Private Dancer"", ""We Don't Need Another Hero (Thunderdome)"", ""Typical Male"", ""The Best"", ""I Don't Wanna Fight"", and ""GoldenEye"". She embarked on the Break Every Rule World Tour (1987–1988), which became the top-grossing female tour of the 1980s and set a Guinness World Record for the then-largest paying audience in a concert (180,000). Turner also acted in the films Tommy (1975) and Mad Max Beyond Thunderdome (1985). In 1986, she published her autobiography I, Tina: My Life Story, which was adapted for the 1993 film What's Love Got to Do with It. In 2009, Turner retired after completing her Tina!: 50th Anniversary Tour. In 2018, she was the subject of Tina, a jukebox musical.
Turner sold more than 100 million records worldwide, becoming one of the best-selling recording artists of all time. She received 12 Grammy Awards, which include eight competitive awards, a Grammy Lifetime Achievement Award and three Grammy Hall of Fame inductions. She was the first black artist and first woman to be on the cover of Rolling Stone. Rolling Stone ranked her among the 100 Greatest Artists of All Time and the 100 Greatest Singers of All Time. Turner has a star on the Hollywood Walk of Fame and on the St. Louis Walk of Fame. She was inducted into the Rock and Roll Hall of Fame twice: with Ike Turner in 1991 and as a solo artist in 2021. She was also a 2005 recipient of the Kennedy Center Honors and the Women of the Year award."
151,2023-06-01,"['Bruce Willis', 'Tina Turner', 'Andrew Lloyd Webber']",Bruce Willis,Tina Turner,Andrew Lloyd Webber,"Walter Bruce Willis (born March 19, 1955) is an American retired actor. He achieved fame with a leading role on the comedy-drama series Moonlighting (1985–1989) and has appeared in over a hundred films, gaining recognition as an action hero for his portrayal of John McClane in the Die Hard franchise (1988–2013).
Willis's other notable credits include The Last Boy Scout (1991), Pulp Fiction (1994), 12 Monkeys (1995), The Fifth Element (1997), Armageddon (1998), The Sixth Sense (1999), Unbreakable, The Whole Nine Yards (both 2000), Tears of the Sun (2003), Sin City (2005), The Expendables, Red (both 2010), Looper (2012) and Glass (2019). In the last few years of his career, he starred in many low-budget direct-to-video films, which were poorly received. Willis retired from acting in 2022 due to aphasia. He was diagnosed with frontotemporal dementia in 2023.
As a singer, Willis released his debut album, The Return of Bruno, in 1987, followed by two more albums in 1989 and 2001. He made his Broadway debut in the stage adaptation of Misery in 2015. Willis has received various accolades throughout his career, including a Golden Globe Award, two Primetime Emmy Awards, and two People's Choice Awards. He received a star on the Hollywood Walk of Fame in 2006. Films featuring Willis have grossed between US$2.64 billion and US$3.05 billion at North American box offices, making him in 2010 the eighth-highest-grossing leading actor."
152,2023-06-02,"['Tina Turner', 'Bruce Willis', 'Jamie Foxx']",Tina Turner,Bruce Willis,Jamie Foxx,"Tina Turner (born Anna Mae Bullock; November 26, 1939 – May 24, 2023) was a singer, songwriter, and actress. Known as the ""Queen of Rock 'n' Roll"", she rose to prominence as the lead singer of the husband-wife duo Ike & Tina Turner before launching a successful career as a solo performer. 
Born in Tennessee, Turner began her musical career with her future husband Ike Turner's band, the Kings of Rhythm, in 1956. Under the name Little Ann, she appeared on her first record, ""Boxtop"", in 1958. In 1960, she debuted as Tina Turner with the hit single ""A Fool in Love"". The Ike & Tina Turner Revue became ""one of the most formidable live acts in history"". The duo released hits such as ""It's Gonna Work Out Fine"", ""River Deep – Mountain High"", ""Proud Mary"", and ""Nutbush City Limits"" before disbanding in 1976.
In the 1980s, Turner launched ""one of the greatest comebacks in music history"". Her 1984 multi-platinum album Private Dancer contained the hit song ""What's Love Got to Do with It"", which won the Grammy Award for Record of the Year and became her first and only number-one song on the Billboard Hot 100. Her chart success continued with ""Better Be Good to Me"", ""Private Dancer"", ""We Don't Need Another Hero (Thunderdome)"", ""Typical Male"", ""The Best"", ""I Don't Wanna Fight"", and ""GoldenEye"". She embarked on the Break Every Rule World Tour (1987–1988), which became the top-grossing female tour of the 1980s and set a Guinness World Record for the then-largest paying audience in a concert (180,000). Turner also acted in the films Tommy (1975) and Mad Max Beyond Thunderdome (1985). In 1986, she published her autobiography I, Tina: My Life Story, which was adapted for the 1993 film What's Love Got to Do with It. In 2009, Turner retired after completing her Tina!: 50th Anniversary Tour. In 2018, she was the subject of Tina, a jukebox musical.
Turner sold more than 100 million records worldwide, becoming one of the best-selling recording artists of all time. She received 12 Grammy Awards, which include eight competitive awards, a Grammy Lifetime Achievement Award and three Grammy Hall of Fame inductions. She was the first black artist and first woman to be on the cover of Rolling Stone. Rolling Stone ranked her among the 100 Greatest Artists of All Time and the 100 Greatest Singers of All Time. Turner has a star on the Hollywood Walk of Fame and on the St. Louis Walk of Fame. She was inducted into the Rock and Roll Hall of Fame twice: with Ike Turner in 1991 and as a solo artist in 2021. She was also a 2005 recipient of the Kennedy Center Honors and the Women of the Year award."
153,2023-06-03,"['Tina Turner', 'Taylor Swift', 'XXXTentacion']",Tina Turner,Taylor Swift,XXXTentacion,"Tina Turner (born Anna Mae Bullock; November 26, 1939 – May 24, 2023) was a singer, songwriter, and actress. Known as the ""Queen of Rock 'n' Roll"", she rose to prominence as the lead singer of the husband-wife duo Ike & Tina Turner before launching a successful career as a solo performer. 
Born in Tennessee, Turner began her musical career with her future husband Ike Turner's band, the Kings of Rhythm, in 1956. Under the name Little Ann, she appeared on her first record, ""Boxtop"", in 1958. In 1960, she debuted as Tina Turner with the hit single ""A Fool in Love"". The Ike & Tina Turner Revue became ""one of the most formidable live acts in history"". The duo released hits such as ""It's Gonna Work Out Fine"", ""River Deep – Mountain High"", ""Proud Mary"", and ""Nutbush City Limits"" before disbanding in 1976.
In the 1980s, Turner launched ""one of the greatest comebacks in music history"". Her 1984 multi-platinum album Private Dancer contained the hit song ""What's Love Got to Do with It"", which won the Grammy Award for Record of the Year and became her first and only number-one song on the Billboard Hot 100. Her chart success continued with ""Better Be Good to Me"", ""Private Dancer"", ""We Don't Need Another Hero (Thunderdome)"", ""Typical Male"", ""The Best"", ""I Don't Wanna Fight"", and ""GoldenEye"". She embarked on the Break Every Rule World Tour (1987–1988), which became the top-grossing female tour of the 1980s and set a Guinness World Record for the then-largest paying audience in a concert (180,000). Turner also acted in the films Tommy (1975) and Mad Max Beyond Thunderdome (1985). In 1986, she published her autobiography I, Tina: My Life Story, which was adapted for the 1993 film What's Love Got to Do with It. In 2009, Turner retired after completing her Tina!: 50th Anniversary Tour. In 2018, she was the subject of Tina, a jukebox musical.
Turner sold more than 100 million records worldwide, becoming one of the best-selling recording artists of all time. She received 12 Grammy Awards, which include eight competitive awards, a Grammy Lifetime Achievement Award and three Grammy Hall of Fame inductions. She was the first black artist and first woman to be on the cover of Rolling Stone. Rolling Stone ranked her among the 100 Greatest Artists of All Time and the 100 Greatest Singers of All Time. Turner has a star on the Hollywood Walk of Fame and on the St. Louis Walk of Fame. She was inducted into the Rock and Roll Hall of Fame twice: with Ike Turner in 1991 and as a solo artist in 2021. She was also a 2005 recipient of the Kennedy Center Honors and the Women of the Year award."
154,2023-06-04,"['Tina Turner', 'Taylor Swift', 'Tila Tequila']",Tina Turner,Taylor Swift,Tila Tequila,"Tina Turner (born Anna Mae Bullock; November 26, 1939 – May 24, 2023) was a singer, songwriter, and actress. Known as the ""Queen of Rock 'n' Roll"", she rose to prominence as the lead singer of the husband-wife duo Ike & Tina Turner before launching a successful career as a solo performer. 
Born in Tennessee, Turner began her musical career with her future husband Ike Turner's band, the Kings of Rhythm, in 1956. Under the name Little Ann, she appeared on her first record, ""Boxtop"", in 1958. In 1960, she debuted as Tina Turner with the hit single ""A Fool in Love"". The Ike & Tina Turner Revue became ""one of the most formidable live acts in history"". The duo released hits such as ""It's Gonna Work Out Fine"", ""River Deep – Mountain High"", ""Proud Mary"", and ""Nutbush City Limits"" before disbanding in 1976.
In the 1980s, Turner launched ""one of the greatest comebacks in music history"". Her 1984 multi-platinum album Private Dancer contained the hit song ""What's Love Got to Do with It"", which won the Grammy Award for Record of the Year and became her first and only number-one song on the Billboard Hot 100. Her chart success continued with ""Better Be Good to Me"", ""Private Dancer"", ""We Don't Need Another Hero (Thunderdome)"", ""Typical Male"", ""The Best"", ""I Don't Wanna Fight"", and ""GoldenEye"". She embarked on the Break Every Rule World Tour (1987–1988), which became the top-grossing female tour of the 1980s and set a Guinness World Record for the then-largest paying audience in a concert (180,000). Turner also acted in the films Tommy (1975) and Mad Max Beyond Thunderdome (1985). In 1986, she published her autobiography I, Tina: My Life Story, which was adapted for the 1993 film What's Love Got to Do with It. In 2009, Turner retired after completing her Tina!: 50th Anniversary Tour. In 2018, she was the subject of Tina, a jukebox musical.
Turner sold more than 100 million records worldwide, becoming one of the best-selling recording artists of all time. She received 12 Grammy Awards, which include eight competitive awards, a Grammy Lifetime Achievement Award and three Grammy Hall of Fame inductions. She was the first black artist and first woman to be on the cover of Rolling Stone. Rolling Stone ranked her among the 100 Greatest Artists of All Time and the 100 Greatest Singers of All Time. Turner has a star on the Hollywood Walk of Fame and on the St. Louis Walk of Fame. She was inducted into the Rock and Roll Hall of Fame twice: with Ike Turner in 1991 and as a solo artist in 2021. She was also a 2005 recipient of the Kennedy Center Honors and the Women of the Year award."
155,2023-06-05,"['Taylor Swift', 'Vanessa Paradis', 'Tina Turner']",Taylor Swift,Vanessa Paradis,Tina Turner,"Taylor Alison Swift (born December 13, 1989) is an American singer-songwriter. A subject of widespread public interest with a vast fanbase, she has influenced the music industry, popular culture and politics through her songwriting, artistry, entrepreneurship, and advocacy.
Swift began professional songwriting at age 14. She signed with Big Machine Records in 2005 and achieved prominence as a country pop singer with the albums Taylor Swift (2006) and Fearless (2008). Their singles ""Teardrops on My Guitar"", ""Love Story"", and ""You Belong with Me"" were crossover successes on country and pop radio formats and brought Swift mainstream fame. She experimented with rock and electronic styles on her next albums, Speak Now (2010) and Red (2012), respectively; Red featured her first Billboard Hot 100 number-one single, ""We Are Never Ever Getting Back Together"". Swift recalibrated her image from country to pop with 1989 (2014), a synth-pop album containing the chart-topping songs ""Shake It Off"", ""Blank Space"", and ""Bad Blood"". Media scrutiny inspired the hip-hop-influenced Reputation (2017) and its number-one single ""Look What You Made Me Do"".
After signing with Republic Records in 2018, Swift released the eclectic pop album Lover (2019) and the autobiographical documentary Miss Americana (2020). She explored indie folk styles on the 2020 albums Folklore and Evermore, subdued pop genres on Midnights (2022) and The Tortured Poets Department (2024), and re-recorded four albums subtitled Taylor's Version after a dispute with Big Machine. These albums spawned the number-one songs ""Cruel Summer"", ""Cardigan"", ""Willow"", ""Anti-Hero"", ""Fortnight"", ""All Too Well"", and ""Is It Over Now?"" Her Eras Tour (2023–2024) and its accompanying concert film became the highest-grossing tour and concert film of all time, respectively. Swift has directed videos and films such as Folklore: The Long Pond Studio Sessions (2020) and All Too Well: The Short Film (2021), and has also acted in films.
Swift is one of the world's best-selling artists, with 200 million records sold worldwide as of 2019. She is the most-streamed artist on Spotify, the highest-grossing female touring act, and the first billionaire with music as the main source of income. Seven of her albums have opened with over one million sales in a week. The 2023 Time Person of the Year, Swift has appeared on lists such as Rolling Stone's 100 Greatest Songwriters of All Time, Billboard's Greatest of All Time Artists, and Forbes' World's 100 Most Powerful Women. Her accolades include 14 Grammy Awards, a Primetime Emmy Award,  40 American Music Awards, 39 Billboard Music Awards, and 23 MTV Video Music Awards; she has won the Grammy Award for Album of the Year, the MTV Video Music Award for Video of the Year, and the IFPI Global Recording Artist of the Year a record four times each."
156,2023-06-06,"['Astrud Gilberto', 'Taylor Swift', 'Kanye West']",Astrud Gilberto,Taylor Swift,Kanye West,"Astrud Gilberto (Portuguese: [asˈtɾud ʒiwˈbɛʁtu]; born Astrud Evangelina Weinert; March 29, 1940 – June 5, 2023) was a Brazilian samba and bossa nova singer and songwriter. She gained international attention in the mid-1960s following her recording of the song ""The Girl from Ipanema""."
157,2023-06-07,"['Astrud Gilberto', 'Taylor Swift', 'XXXTentacion']",Astrud Gilberto,Taylor Swift,XXXTentacion,"Astrud Gilberto (Portuguese: [asˈtɾud ʒiwˈbɛʁtu]; born Astrud Evangelina Weinert; March 29, 1940 – June 5, 2023) was a Brazilian samba and bossa nova singer and songwriter. She gained international attention in the mid-1960s following her recording of the song ""The Girl from Ipanema""."
158,2023-06-08,"['Taylor Swift', 'XXXTentacion', 'Astrud Gilberto']",Taylor Swift,XXXTentacion,Astrud Gilberto,"Taylor Alison Swift (born December 13, 1989) is an American singer-songwriter. A subject of widespread public interest with a vast fanbase, she has influenced the music industry, popular culture and politics through her songwriting, artistry, entrepreneurship, and advocacy.
Swift began professional songwriting at age 14. She signed with Big Machine Records in 2005 and achieved prominence as a country pop singer with the albums Taylor Swift (2006) and Fearless (2008). Their singles ""Teardrops on My Guitar"", ""Love Story"", and ""You Belong with Me"" were crossover successes on country and pop radio formats and brought Swift mainstream fame. She experimented with rock and electronic styles on her next albums, Speak Now (2010) and Red (2012), respectively; Red featured her first Billboard Hot 100 number-one single, ""We Are Never Ever Getting Back Together"". Swift recalibrated her image from country to pop with 1989 (2014), a synth-pop album containing the chart-topping songs ""Shake It Off"", ""Blank Space"", and ""Bad Blood"". Media scrutiny inspired the hip-hop-influenced Reputation (2017) and its number-one single ""Look What You Made Me Do"".
After signing with Republic Records in 2018, Swift released the eclectic pop album Lover (2019) and the autobiographical documentary Miss Americana (2020). She explored indie folk styles on the 2020 albums Folklore and Evermore, subdued pop genres on Midnights (2022) and The Tortured Poets Department (2024), and re-recorded four albums subtitled Taylor's Version after a dispute with Big Machine. These albums spawned the number-one songs ""Cruel Summer"", ""Cardigan"", ""Willow"", ""Anti-Hero"", ""Fortnight"", ""All Too Well"", and ""Is It Over Now?"" Her Eras Tour (2023–2024) and its accompanying concert film became the highest-grossing tour and concert film of all time, respectively. Swift has directed videos and films such as Folklore: The Long Pond Studio Sessions (2020) and All Too Well: The Short Film (2021), and has also acted in films.
Swift is one of the world's best-selling artists, with 200 million records sold worldwide as of 2019. She is the most-streamed artist on Spotify, the highest-grossing female touring act, and the first billionaire with music as the main source of income. Seven of her albums have opened with over one million sales in a week. The 2023 Time Person of the Year, Swift has appeared on lists such as Rolling Stone's 100 Greatest Songwriters of All Time, Billboard's Greatest of All Time Artists, and Forbes' World's 100 Most Powerful Women. Her accolades include 14 Grammy Awards, a Primetime Emmy Award,  40 American Music Awards, 39 Billboard Music Awards, and 23 MTV Video Music Awards; she has won the Grammy Award for Album of the Year, the MTV Video Music Award for Video of the Year, and the IFPI Global Recording Artist of the Year a record four times each."
159,2023-06-09,"['Taylor Swift', 'Johnny Depp', 'XXXTentacion']",Taylor Swift,Johnny Depp,XXXTentacion,"Taylor Alison Swift (born December 13, 1989) is an American singer-songwriter. A subject of widespread public interest with a vast fanbase, she has influenced the music industry, popular culture and politics through her songwriting, artistry, entrepreneurship, and advocacy.
Swift began professional songwriting at age 14. She signed with Big Machine Records in 2005 and achieved prominence as a country pop singer with the albums Taylor Swift (2006) and Fearless (2008). Their singles ""Teardrops on My Guitar"", ""Love Story"", and ""You Belong with Me"" were crossover successes on country and pop radio formats and brought Swift mainstream fame. She experimented with rock and electronic styles on her next albums, Speak Now (2010) and Red (2012), respectively; Red featured her first Billboard Hot 100 number-one single, ""We Are Never Ever Getting Back Together"". Swift recalibrated her image from country to pop with 1989 (2014), a synth-pop album containing the chart-topping songs ""Shake It Off"", ""Blank Space"", and ""Bad Blood"". Media scrutiny inspired the hip-hop-influenced Reputation (2017) and its number-one single ""Look What You Made Me Do"".
After signing with Republic Records in 2018, Swift released the eclectic pop album Lover (2019) and the autobiographical documentary Miss Americana (2020). She explored indie folk styles on the 2020 albums Folklore and Evermore, subdued pop genres on Midnights (2022) and The Tortured Poets Department (2024), and re-recorded four albums subtitled Taylor's Version after a dispute with Big Machine. These albums spawned the number-one songs ""Cruel Summer"", ""Cardigan"", ""Willow"", ""Anti-Hero"", ""Fortnight"", ""All Too Well"", and ""Is It Over Now?"" Her Eras Tour (2023–2024) and its accompanying concert film became the highest-grossing tour and concert film of all time, respectively. Swift has directed videos and films such as Folklore: The Long Pond Studio Sessions (2020) and All Too Well: The Short Film (2021), and has also acted in films.
Swift is one of the world's best-selling artists, with 200 million records sold worldwide as of 2019. She is the most-streamed artist on Spotify, the highest-grossing female touring act, and the first billionaire with music as the main source of income. Seven of her albums have opened with over one million sales in a week. The 2023 Time Person of the Year, Swift has appeared on lists such as Rolling Stone's 100 Greatest Songwriters of All Time, Billboard's Greatest of All Time Artists, and Forbes' World's 100 Most Powerful Women. Her accolades include 14 Grammy Awards, a Primetime Emmy Award,  40 American Music Awards, 39 Billboard Music Awards, and 23 MTV Video Music Awards; she has won the Grammy Award for Album of the Year, the MTV Video Music Award for Video of the Year, and the IFPI Global Recording Artist of the Year a record four times each."
160,2023-06-10,"['Barry Manilow', 'Taylor Swift', 'XXXTentacion']",Barry Manilow,Taylor Swift,XXXTentacion,"Barry Manilow ( MAN-ə-loh; born Barry Alan Pincus; June 17, 1943) is an American singer and songwriter with a career that spans six decades. His hit recordings include ""Could It Be Magic"", ""Looks Like We Made It"", ""Mandy"", ""I Write the Songs"", ""Can't Smile Without You"", ""Weekend in New England"", and ""Copacabana (At the Copa)"".
Manilow has recorded and released 51 Top 40 singles on the Adult Contemporary Chart, including 13 that hit number one, 28 that appeared within the top ten, and 36 that reached the top twenty.  Manilow has released 13 platinum and six multi-platinum albums. Although not a favorite artist of music critics, Manilow has been praised by his peers in the recording industry. In the 1970s, Frank Sinatra predicted: ""He's next.""
As well as producing and arranging albums for himself and other artists, Manilow has written and performed songs for musicals, films, and commercials for corporations such as McDonald's, Pepsi Cola, and Band-Aid. He has been nominated for a Grammy Award (winning once) as a producer, arranger and performer a total of fifteen times (and in every decade) from 1973 to 2015. He has also produced Grammy-nominated albums for Bette Midler, Dionne Warwick, Nancy Wilson, and Sarah Vaughan. Manilow has sold more than 85 million records as a solo artist worldwide, making him one of the world's bestselling artists."
161,2023-06-11,"['Taylor Swift', 'Freddie Mercury', 'XXXTentacion']",Taylor Swift,Freddie Mercury,XXXTentacion,"Taylor Alison Swift (born December 13, 1989) is an American singer-songwriter. A subject of widespread public interest with a vast fanbase, she has influenced the music industry, popular culture and politics through her songwriting, artistry, entrepreneurship, and advocacy.
Swift began professional songwriting at age 14. She signed with Big Machine Records in 2005 and achieved prominence as a country pop singer with the albums Taylor Swift (2006) and Fearless (2008). Their singles ""Teardrops on My Guitar"", ""Love Story"", and ""You Belong with Me"" were crossover successes on country and pop radio formats and brought Swift mainstream fame. She experimented with rock and electronic styles on her next albums, Speak Now (2010) and Red (2012), respectively; Red featured her first Billboard Hot 100 number-one single, ""We Are Never Ever Getting Back Together"". Swift recalibrated her image from country to pop with 1989 (2014), a synth-pop album containing the chart-topping songs ""Shake It Off"", ""Blank Space"", and ""Bad Blood"". Media scrutiny inspired the hip-hop-influenced Reputation (2017) and its number-one single ""Look What You Made Me Do"".
After signing with Republic Records in 2018, Swift released the eclectic pop album Lover (2019) and the autobiographical documentary Miss Americana (2020). She explored indie folk styles on the 2020 albums Folklore and Evermore, subdued pop genres on Midnights (2022) and The Tortured Poets Department (2024), and re-recorded four albums subtitled Taylor's Version after a dispute with Big Machine. These albums spawned the number-one songs ""Cruel Summer"", ""Cardigan"", ""Willow"", ""Anti-Hero"", ""Fortnight"", ""All Too Well"", and ""Is It Over Now?"" Her Eras Tour (2023–2024) and its accompanying concert film became the highest-grossing tour and concert film of all time, respectively. Swift has directed videos and films such as Folklore: The Long Pond Studio Sessions (2020) and All Too Well: The Short Film (2021), and has also acted in films.
Swift is one of the world's best-selling artists, with 200 million records sold worldwide as of 2019. She is the most-streamed artist on Spotify, the highest-grossing female touring act, and the first billionaire with music as the main source of income. Seven of her albums have opened with over one million sales in a week. The 2023 Time Person of the Year, Swift has appeared on lists such as Rolling Stone's 100 Greatest Songwriters of All Time, Billboard's Greatest of All Time Artists, and Forbes' World's 100 Most Powerful Women. Her accolades include 14 Grammy Awards, a Primetime Emmy Award,  40 American Music Awards, 39 Billboard Music Awards, and 23 MTV Video Music Awards; she has won the Grammy Award for Album of the Year, the MTV Video Music Award for Video of the Year, and the IFPI Global Recording Artist of the Year a record four times each."
162,2023-06-12,"['BTS', 'Ariana DeBose', 'Taylor Swift']",BTS,Ariana DeBose,Taylor Swift,"BTS (Korean: 방탄소년단; RR: Bangtan Sonyeondan; lit. Bulletproof Boy Scouts), also known as the Bangtan Boys, is a South Korean boy band formed in 2010. The band consists of Jin, Suga, J-Hope, RM, Jimin, V, and Jungkook, who co-write or co-produce much of their material. Originally a hip hop group, they expanded their musical style to incorporate a wide range of genres, while their lyrics have focused on subjects including mental health, the troubles of school-age youth and coming of age, loss, the journey towards self-love, individualism, and the consequences of fame and recognition. Their discography and adjacent work has also referenced literature, philosophy and psychology, and includes an alternate universe storyline.
BTS debuted in 2013 under Big Hit Entertainment with the single album 2 Cool 4 Skool. BTS released their first Korean and Japanese-language studio albums, Dark & Wild and Wake Up respectively, in 2014. The group's second Korean studio album, Wings (2016), was their first to sell one million copies in South Korea. By 2017, BTS had crossed into the global music market and led the Korean Wave into the United States, becoming the first Korean ensemble to receive a Gold certification from the Recording Industry Association of America (RIAA) for their single ""Mic Drop"", as well as the first act from South Korea to top the Billboard 200 with their studio album Love Yourself: Tear (2018). In 2020, BTS became the fastest group since the Beatles to chart four US number-one albums in less than two years, with Love Yourself: Answer (2018) becoming the first Korean album certified Platinum by the RIAA; in the same year, they also became the first all-South Korean act to reach number one on both the Billboard Hot 100 and Billboard Global 200 with their Grammy-nominated single ""Dynamite"". Follow-up releases ""Savage Love"", ""Life Goes On"", ""Butter"", and ""Permission to Dance"" made them the fastest act to earn four US number-one singles since Justin Timberlake in 2006.
As of 2023, BTS is the best-selling musical act in South Korean history according to the Circle Chart, having sold in excess of 40 million albums. Their studio album Map of the Soul: 7 (2020) is the fourth best-selling album of all time in South Korea, as well as the first in the country to surpass both four and five million registered sales. They are the first non-English-speaking and Asian act to sell out concerts at Wembley Stadium and the Rose Bowl (Love Yourself World Tour, 2019), and were named the International Federation of the Phonographic Industry's (IFPI) Global Recording Artist of the Year for both 2020 and 2021. The group's accolades include multiple American Music Awards, Billboard Music Awards, Golden Disc Awards, and nominations for five Grammy Awards. Outside of music, they have addressed three sessions of the United Nations General Assembly and partnered with UNICEF in 2017 to establish the Love Myself anti-violence campaign. Featured on Time's international cover as ""Next Generation Leaders"" and dubbed the ""Princes of Pop"", BTS has also appeared on Time's lists of the 25 most influential people on the internet (2017–2019) and the 100 most influential people in the world (2019), and in 2018 became the youngest recipients of the South Korean Order of Cultural Merit for their contributions in spreading the Korean culture and language.
On June 14, 2022, the group announced a scheduled pause in group activities to enable the members to complete their 18 months of mandatory South Korean military service, with a reunion planned for 2025. Jin, the oldest member, enlisted on December 13, 2022; the others followed in 2023."
163,2023-06-13,"['Ezra Miller', 'XXXTentacion', 'Taylor Swift']",Ezra Miller,XXXTentacion,Taylor Swift,"Ezra Matthew Miller (born September 30, 1992) is an American actor. Their feature film debut was in Afterschool (2008), which they followed by starring in the dramas We Need to Talk About Kevin (2011) and The Perks of Being a Wallflower (2012).
After a supporting role in the comedy Trainwreck (2015), Miller played Credence Barebone in the Fantastic Beasts fantasy films Fantastic Beasts and Where to Find Them (2016), Fantastic Beasts: The Crimes of Grindelwald (2018), and Fantastic Beasts: The Secrets of Dumbledore (2022). In 2020, they had a recurring role on the miniseries The Stand. From 2016 to 2023, Miller played the Flash in the DC Extended Universe, primarily in the films Justice League (2017) and The Flash (2023), with cameo appearances in other media.
Miller's off-screen life has been marred with multiple controversies and legal issues. Since 2022, they have been accused of committing  assault, burglary, disorderly conduct, harassment, and grooming of minors, resulting in multiple widely publicized arrests, citations, and restraining orders."
164,2023-06-14,"['Ezra Miller', 'XXXTentacion', 'Eminem']",Ezra Miller,XXXTentacion,Eminem,"Ezra Matthew Miller (born September 30, 1992) is an American actor. Their feature film debut was in Afterschool (2008), which they followed by starring in the dramas We Need to Talk About Kevin (2011) and The Perks of Being a Wallflower (2012).
After a supporting role in the comedy Trainwreck (2015), Miller played Credence Barebone in the Fantastic Beasts fantasy films Fantastic Beasts and Where to Find Them (2016), Fantastic Beasts: The Crimes of Grindelwald (2018), and Fantastic Beasts: The Secrets of Dumbledore (2022). In 2020, they had a recurring role on the miniseries The Stand. From 2016 to 2023, Miller played the Flash in the DC Extended Universe, primarily in the films Justice League (2017) and The Flash (2023), with cameo appearances in other media.
Miller's off-screen life has been marred with multiple controversies and legal issues. Since 2022, they have been accused of committing  assault, burglary, disorderly conduct, harassment, and grooming of minors, resulting in multiple widely publicized arrests, citations, and restraining orders."
